lighting,policy,group,hidden_pose_error_cm,clearance_error_cm,unsafe_clearance_rate,false_external_shadow_rate,safe_action_success,self_occlusion_f1,utility,oracle_regret
overhead_diffuse,shadow_removal_inpainting,all,4.417702,4.894942,0.385973,0.137975,0.450966,0.529332,-0.142675,0.775621
overhead_diffuse,kinematic_only_self_model,all,4.559059,5.017271,0.395771,0.082532,0.440639,0.524271,-0.160366,0.793313
overhead_diffuse,nonshadow_visual_silhouette,all,4.413553,4.891352,0.379178,0.136709,0.453684,0.532520,-0.136359,0.769305
overhead_diffuse,generic_photometric_residual,all,4.393306,4.873830,0.357249,0.280507,0.452632,0.567050,-0.139019,0.771965
overhead_diffuse,robot_self_shadow_state,all,1.868020,2.215332,0.075316,0.049640,0.780243,0.751609,0.468453,0.164493
overhead_diffuse,oracle_self_state_estimator,all,1.056475,0.798084,0.048312,0.030405,0.885386,0.824933,0.640139,0.000000
side_light,shadow_removal_inpainting,all,4.419386,4.896399,0.385116,0.146775,0.450512,0.526611,-0.143361,0.776307
side_light,kinematic_only_self_model,all,4.559510,5.017661,0.395793,0.087332,0.440261,0.520024,-0.161079,0.794025
side_light,nonshadow_visual_silhouette,all,4.408684,4.887138,0.378997,0.143109,0.453672,0.528330,-0.136566,0.769513
side_light,generic_photometric_residual,all,4.348451,4.835014,0.353174,0.294107,0.456517,0.566226,-0.132533,0.765479
side_light,robot_self_shadow_state,all,1.686793,2.033032,0.069605,0.050149,0.797239,0.756816,0.496565,0.136381
side_light,oracle_self_state_estimator,all,1.065275,0.804484,0.048912,0.031805,0.884461,0.822442,0.638455,0.000000
back_light,shadow_removal_inpainting,all,4.419914,4.896857,0.385613,0.168775,0.448762,0.515256,-0.146634,0.779580
back_light,kinematic_only_self_model,all,4.561394,5.019292,0.395890,0.099332,0.439243,0.509251,-0.162859,0.795805
back_light,nonshadow_visual_silhouette,all,4.417803,4.895030,0.379387,0.159109,0.451718,0.517883,-0.139900,0.772847
back_light,generic_photometric_residual,all,4.409945,4.888229,0.358693,0.328107,0.447528,0.552309,-0.148512,0.781458
back_light,robot_self_shadow_state,all,1.827945,2.167951,0.074501,0.054569,0.783830,0.740871,0.474062,0.158884
back_light,oracle_self_state_estimator,all,1.087275,0.820484,0.050412,0.035305,0.882150,0.816132,0.634247,0.000000
moving_lamp,shadow_removal_inpainting,all,4.419782,4.896743,0.386348,0.199403,0.446378,0.498846,-0.150997,0.783943
moving_lamp,kinematic_only_self_model,all,4.560906,5.018869,0.395865,0.116038,0.438120,0.493859,-0.164939,0.797885
moving_lamp,nonshadow_visual_silhouette,all,4.431583,4.906955,0.379985,0.181384,0.448895,0.502903,-0.144552,0.777498
moving_lamp,generic_photometric_residual,all,4.506979,4.972202,0.367427,0.375441,0.433780,0.531243,-0.171260,0.804206
moving_lamp,robot_self_shadow_state,all,2.043412,2.374683,0.084344,0.061343,0.762519,0.716275,0.437619,0.195327
moving_lamp,oracle_self_state_estimator,all,1.117903,0.842759,0.052501,0.040178,0.878933,0.807149,0.628389,0.004557
specular_surface,shadow_removal_inpainting,all,4.418145,4.895326,0.385657,0.181975,0.447959,0.508675,-0.148182,0.781128
specular_surface,kinematic_only_self_model,all,4.559519,5.017669,0.395794,0.106532,0.438916,0.502696,-0.163575,0.796521
specular_surface,nonshadow_visual_silhouette,all,4.418677,4.895786,0.379405,0.168709,0.450973,0.511531,-0.141244,0.774190
specular_surface,generic_photometric_residual,all,4.426539,4.902590,0.360229,0.348507,0.444302,0.545085,-0.154249,0.787195
specular_surface,robot_self_shadow_state,all,1.873249,2.210078,0.076512,0.056979,0.779360,0.733561,0.466397,0.166549
specular_surface,oracle_self_state_estimator,all,1.100475,0.830084,0.051312,0.037405,0.880764,0.812289,0.631723,0.001224
transparent_surface,shadow_removal_inpainting,all,4.419259,4.896290,0.386234,0.207767,0.445872,0.494839,-0.151938,0.784884
transparent_surface,kinematic_only_self_model,all,4.561952,5.019774,0.395919,0.120600,0.437701,0.489569,-0.165719,0.798666
transparent_surface,nonshadow_visual_silhouette,all,4.430897,4.906361,0.379936,0.187467,0.448539,0.498755,-0.145234,0.778180
transparent_surface,generic_photometric_residual,all,4.506231,4.971554,0.367372,0.388367,0.432951,0.527281,-0.172697,0.805643
transparent_surface,robot_self_shadow_state,all,2.036170,2.365564,0.084069,0.062589,0.763210,0.713395,0.438728,0.194218
transparent_surface,oracle_self_state_estimator,all,1.126267,0.848842,0.053071,0.041508,0.878054,0.804655,0.626789,0.006157
mixed_indoor_lights,shadow_removal_inpainting,all,4.418657,4.895768,0.386235,0.186375,0.447415,0.505473,-0.149158,0.782104
mixed_indoor_lights,kinematic_only_self_model,all,4.561006,5.018956,0.395871,0.108932,0.438607,0.500462,-0.164071,0.797017
mixed_indoor_lights,nonshadow_visual_silhouette,all,4.426262,4.902350,0.379731,0.171909,0.450054,0.509381,-0.142608,0.775554
mixed_indoor_lights,generic_photometric_residual,all,4.477172,4.946407,0.364772,0.355307,0.438385,0.539345,-0.163742,0.796688
mixed_indoor_lights,robot_self_shadow_state,all,2.003826,2.338298,0.082318,0.058804,0.766527,0.724074,0.444583,0.188363
mixed_indoor_lights,oracle_self_state_estimator,all,1.104875,0.833284,0.051612,0.038105,0.880301,0.810998,0.630881,0.002065
