proprioception,policy,group,hidden_pose_error_cm,clearance_error_cm,unsafe_clearance_rate,false_external_shadow_rate,safe_action_success,self_occlusion_f1,utility,oracle_regret
clean_encoder,shadow_removal_inpainting,all,3.789480,4.415856,0.361874,0.175578,0.501959,0.511443,-0.061485,0.694431
clean_encoder,kinematic_only_self_model,all,3.277012,3.972374,0.334666,0.103043,0.555717,0.520502,0.033436,0.599510
clean_encoder,nonshadow_visual_silhouette,all,3.881207,4.495235,0.359396,0.164057,0.496550,0.514586,-0.068503,0.701449
clean_encoder,generic_photometric_residual,all,4.026053,4.620583,0.346642,0.338621,0.477522,0.547170,-0.100467,0.733413
clean_encoder,robot_self_shadow_state,all,1.468143,1.929601,0.069786,0.056297,0.809710,0.744461,0.515565,0.117382
clean_encoder,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
encoder_bias,shadow_removal_inpainting,all,4.502365,4.982872,0.390224,0.175578,0.439714,0.511430,-0.162153,0.795099
encoder_bias,kinematic_only_self_model,all,4.693014,5.147857,0.402979,0.103043,0.425786,0.504765,-0.188471,0.821417
encoder_bias,nonshadow_visual_silhouette,all,4.497699,4.978834,0.383568,0.164057,0.443143,0.514599,-0.154148,0.787094
encoder_bias,generic_photometric_residual,all,4.505332,4.985440,0.364906,0.338621,0.436681,0.547103,-0.166145,0.799091
encoder_bias,robot_self_shadow_state,all,1.974607,2.317884,0.079406,0.056299,0.769721,0.733247,0.450588,0.182358
encoder_bias,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
encoder_dropout,shadow_removal_inpainting,all,4.556778,5.040633,0.393105,0.175578,0.434068,0.511456,-0.170332,0.803278
encoder_dropout,kinematic_only_self_model,all,4.970732,5.398863,0.418562,0.103043,0.398639,0.499647,-0.229478,0.862424
encoder_dropout,nonshadow_visual_silhouette,all,4.521432,5.010045,0.385130,0.164057,0.440305,0.514614,-0.158342,0.791288
encoder_dropout,generic_photometric_residual,all,4.485102,4.978606,0.364558,0.338621,0.437876,0.547186,-0.164484,0.797430
encoder_dropout,robot_self_shadow_state,all,1.961781,2.317350,0.080773,0.056287,0.769769,0.729831,0.450211,0.182735
encoder_dropout,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
delayed_proprioception,shadow_removal_inpainting,all,4.379612,4.809720,0.381568,0.175578,0.455114,0.511446,-0.138403,0.771349
delayed_proprioception,kinematic_only_self_model,all,4.454638,4.874647,0.387754,0.103043,0.452315,0.507369,-0.143850,0.776796
delayed_proprioception,nonshadow_visual_silhouette,all,4.390753,4.819361,0.375601,0.164057,0.457092,0.514617,-0.132684,0.765630
delayed_proprioception,generic_photometric_residual,all,4.420702,4.845279,0.357892,0.338621,0.448589,0.547200,-0.147459,0.780406
delayed_proprioception,robot_self_shadow_state,all,1.885604,2.174078,0.076145,0.056301,0.780683,0.735205,0.468561,0.164385
delayed_proprioception,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
camera_proprio_desync,shadow_removal_inpainting,all,4.660938,5.061541,0.394163,0.175578,0.428809,0.511431,-0.177206,0.810153
camera_proprio_desync,kinematic_only_self_model,all,5.034374,5.384707,0.417304,0.103043,0.397286,0.500591,-0.230576,0.863522
camera_proprio_desync,nonshadow_visual_silhouette,all,4.631216,5.035820,0.386419,0.164057,0.434536,0.514591,-0.166068,0.799014
camera_proprio_desync,generic_photometric_residual,all,4.603207,5.011581,0.366226,0.338621,0.431337,0.547140,-0.173659,0.806605
camera_proprio_desync,robot_self_shadow_state,all,2.080393,2.351047,0.081267,0.056304,0.763576,0.730322,0.440446,0.192501
camera_proprio_desync,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
joint_backlash,shadow_removal_inpainting,all,4.624694,5.065656,0.394360,0.175578,0.429934,0.511443,-0.175801,0.808747
joint_backlash,kinematic_only_self_model,all,4.933099,5.332546,0.413794,0.103043,0.404675,0.502087,-0.220440,0.853387
joint_backlash,nonshadow_visual_silhouette,all,4.604086,5.047823,0.386988,0.164057,0.434833,0.514650,-0.165796,0.798742
joint_backlash,generic_photometric_residual,all,4.589853,5.035505,0.367420,0.338621,0.430362,0.547157,-0.175223,0.808170
joint_backlash,robot_self_shadow_state,all,2.063255,2.371416,0.081192,0.056290,0.763337,0.731450,0.440122,0.192824
joint_backlash,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
