robot_geometry,policy,group,hidden_pose_error_cm,clearance_error_cm,unsafe_clearance_rate,false_external_shadow_rate,safe_action_success,self_occlusion_f1,utility,oracle_regret
single_arm_gripper,shadow_removal_inpainting,all,4.272481,4.769271,0.379771,0.175578,0.461616,0.511068,-0.127667,0.760613
single_arm_gripper,kinematic_only_self_model,all,4.396942,4.876977,0.387524,0.103043,0.454481,0.507955,-0.139146,0.772092
single_arm_gripper,nonshadow_visual_silhouette,all,4.286236,4.781174,0.372104,0.164057,0.463971,0.516699,-0.121194,0.754140
single_arm_gripper,generic_photometric_residual,all,4.357163,4.842553,0.357465,0.338621,0.451271,0.547446,-0.142976,0.775922
single_arm_gripper,robot_self_shadow_state,all,1.891016,2.237149,0.078178,0.056654,0.776923,0.733062,0.462098,0.170849
single_arm_gripper,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
dual_arm_manipulator,shadow_removal_inpainting,all,4.446207,4.919610,0.386635,0.175578,0.445915,0.512142,-0.152059,0.785005
dual_arm_manipulator,kinematic_only_self_model,all,4.529726,4.991887,0.394228,0.103043,0.441985,0.506355,-0.159168,0.792114
dual_arm_manipulator,nonshadow_visual_silhouette,all,4.450331,4.923179,0.381569,0.164057,0.448127,0.513559,-0.146703,0.779649
dual_arm_manipulator,generic_photometric_residual,all,4.446311,4.919700,0.361344,0.338621,0.443093,0.547642,-0.155947,0.788893
dual_arm_manipulator,robot_self_shadow_state,all,1.823263,2.160614,0.074300,0.055626,0.784333,0.739171,0.474862,0.158085
dual_arm_manipulator,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
wrist_camera_arm,shadow_removal_inpainting,all,4.087787,4.609439,0.371617,0.175578,0.478599,0.511327,-0.099937,0.732883
wrist_camera_arm,kinematic_only_self_model,all,4.433398,4.908525,0.389578,0.103043,0.450978,0.507156,-0.144875,0.777821
wrist_camera_arm,nonshadow_visual_silhouette,all,4.091542,4.612688,0.359737,0.164057,0.483156,0.521856,-0.088738,0.721684
wrist_camera_arm,generic_photometric_residual,all,4.227007,4.729918,0.350140,0.338621,0.463776,0.549557,-0.122145,0.755091
wrist_camera_arm,robot_self_shadow_state,all,1.809638,2.162138,0.076464,0.056399,0.783992,0.734234,0.473590,0.159356
wrist_camera_arm,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
dexterous_hand,shadow_removal_inpainting,all,4.709727,5.147657,0.397715,0.175578,0.421872,0.512676,-0.187032,0.819978
dexterous_hand,kinematic_only_self_model,all,4.784773,5.212600,0.407171,0.103043,0.417961,0.503156,-0.195168,0.828114
dexterous_hand,nonshadow_visual_silhouette,all,4.696915,5.136569,0.395394,0.164057,0.424454,0.509353,-0.182192,0.815139
dexterous_hand,generic_photometric_residual,all,4.597339,5.050397,0.368643,0.338621,0.428991,0.546836,-0.177691,0.810637
dexterous_hand,robot_self_shadow_state,all,1.862807,2.186075,0.073959,0.055119,0.781836,0.740526,0.471135,0.161811
dexterous_hand,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
mobile_manipulator,shadow_removal_inpainting,all,4.578687,5.034256,0.393674,0.175578,0.433329,0.509992,-0.171123,0.804069
mobile_manipulator,kinematic_only_self_model,all,4.657552,5.102505,0.400714,0.103043,0.429944,0.504749,-0.177792,0.810738
mobile_manipulator,nonshadow_visual_silhouette,all,4.580304,5.035656,0.388782,0.164057,0.435674,0.511461,-0.165790,0.798736
mobile_manipulator,generic_photometric_residual,all,4.564055,5.021594,0.368776,0.338621,0.431507,0.544299,-0.174106,0.807052
mobile_manipulator,robot_self_shadow_state,all,2.141429,2.471838,0.087573,0.057683,0.753580,0.723378,0.422893,0.210053
mobile_manipulator,oracle_self_state_estimator,all,1.094078,0.825432,0.050876,0.036387,0.881436,0.814157,0.632946,0.000000
